0.0000 	 0.1769 	 23.8057 
0.0100 	 0.2195 	 23.2642 
0.0200 	 0.1799 	 21.6851 
0.0300 	 0.2274 	 19.1850 
0.0400 	 0.1767 	 15.9424 
0.0500 	 0.2283 	 12.1778 
0.0600 	 0.1888 	 8.1309 
0.0700 	 0.2448 	 4.0400 
0.0800 	 0.2020 	 0.1235 
0.0900 	 0.2649 	 -3.4331 
0.1000 	 0.2203 	 -6.4863 
0.1100 	 0.2715 	 -8.9385 
0.1200 	 0.2191 	 -10.7384 
0.1300 	 0.2844 	 -11.8789 
0.1400 	 0.2542 	 -12.3912 
0.1500 	 0.2958 	 -12.3388 
0.1600 	 0.2811 	 -11.8090 
0.1700 	 0.3434 	 -10.9053 
0.1800 	 0.3296 	 -9.7384 
0.1900 	 0.3614 	 -8.4190 
0.2000 	 0.3675 	 -7.0505 
0.2100 	 0.3870 	 -5.7230 
0.2200 	 0.3540 	 -4.5091 
0.2300 	 0.4369 	 -3.4607 
0.2400 	 0.3723 	 -2.6078 
0.2500 	 0.4593 	 -1.9586 
0.2600 	 0.4572 	 -1.5019 
0.2700 	 0.5049 	 -1.2104 
0.2800 	 0.4565 	 -1.0443 
0.2900 	 0.5420 	 -0.9575 
0.3000 	 0.5215 	 -0.9016 
0.3100 	 0.6554 	 -0.8318 
0.3200 	 0.6024 	 -0.7104 
0.3300 	 0.5979 	 -0.5105 
0.3400 	 0.6348 	 -0.2178 
0.3500 	 0.7328 	 0.1684 
0.3600 	 0.7417 	 0.6361 
0.3700 	 0.8708 	 1.1618 
0.3800 	 0.7496 	 1.7137 
0.3900 	 0.7835 	 2.2548 
0.4000 	 0.7854 	 2.7463 
0.4100 	 0.8222 	 3.1513 
0.4200 	 0.8455 	 3.4382 
0.4300 	 0.9952 	 3.5834 
0.4400 	 0.9377 	 3.5731 
0.4500 	 1.0681 	 3.4042 
0.4600 	 0.9664 	 3.0846 
0.4700 	 0.9299 	 2.6324 
0.4800 	 0.9221 	 2.0741 
0.4900 	 1.0745 	 1.4427 
0.5000 	 1.2113 	 0.7750 
0.5099 	 1.2810 	 0.1088 
0.5199 	 1.2097 	 -0.5194 
0.5299 	 1.3638 	 -1.0773 
0.5399 	 1.4223 	 -1.5384 
0.5499 	 1.5169 	 -1.8836 
0.5599 	 1.4226 	 -2.1022 
0.5699 	 1.5309 	 -2.1920 
0.5799 	 1.6836 	 -2.1588 
0.5899 	 1.8150 	 -2.0161 
0.5999 	 1.6247 	 -1.7829 
0.6099 	 1.7065 	 -1.4827 
0.6199 	 1.7466 	 -1.1415 
0.6299 	 1.8456 	 -0.7858 
0.6399 	 1.8089 	 -0.4404 
0.6499 	 1.9150 	 -0.1277 
0.6599 	 1.9297 	 0.1346 
0.6699 	 2.0363 	 0.3337 
0.6799 	 2.0242 	 0.4628 
0.6899 	 2.0320 	 0.5206 
0.6999 	 2.2444 	 0.5112 
0.7099 	 2.4524 	 0.4435 
0.7199 	 2.5151 	 0.3298 
0.7299 	 2.6472 	 0.1851 
0.7399 	 2.3490 	 0.0254 
0.7499 	 2.7472 	 -0.1332 
0.7599 	 2.7821 	 -0.2759 
0.7699 	 2.8044 	 -0.3902 
0.7799 	 2.6899 	 -0.4665 
0.7899 	 2.9360 	 -0.4983 
0.7999 	 3.1466 	 -0.4831 
0.8099 	 2.9591 	 -0.4217 
0.8199 	 2.6349 	 -0.3180 
0.8299 	 2.7702 	 -0.1787 
0.8399 	 3.5315 	 -0.0124 
0.8499 	 3.5970 	 0.1710 
0.8599 	 3.0218 	 0.3612 
0.8699 	 3.5043 	 0.5481 
0.8799 	 3.6765 	 0.7225 
0.8899 	 3.5396 	 0.8765 
0.8999 	 3.3575 	 1.0044 
0.9099 	 3.7388 	 1.1020 
0.9199 	 3.9520 	 1.1678 
0.9299 	 3.8075 	 1.2016 
0.9399 	 3.3152 	 1.2055 
0.9499 	 3.9721 	 1.1827 
0.9599 	 4.8529 	 1.1372 
0.9699 	 4.9193 	 1.0739 
0.9799 	 4.5591 	 0.9973 
0.9899 	 4.2080 	 0.9120 
0.9999 	 4.5570 	 0.8218 
1.0099 	 4.4916 	 0.7295 
1.0199 	 4.4616 	 0.6372 
1.0299 	 4.9154 	 0.5458 
1.0399 	 4.8754 	 0.4553 
1.0499 	 4.9810 	 0.3649 
1.0599 	 4.7036 	 0.2733 
1.0699 	 5.2797 	 0.1788 
1.0799 	 5.2531 	 0.0800 
1.0899 	 5.4178 	 -0.0245 
1.0999 	 5.6623 	 -0.1354 
1.1099 	 5.8209 	 -0.2527 
1.1199 	 5.9692 	 -0.3756 
1.1299 	 5.9688 	 -0.5024 
1.1399 	 6.1205 	 -0.6303 
1.1499 	 6.2727 	 -0.7560 
1.1599 	 6.2532 	 -0.8753 
1.1699 	 6.7128 	 -0.9837 
1.1799 	 6.5696 	 -1.0765 
1.1899 	 5.9831 	 -1.1492 
1.1999 	 6.1621 	 -1.1978 
1.2099 	 6.4489 	 -1.2191 
1.2199 	 6.8027 	 -1.2109 
1.2299 	 7.2403 	 -1.1725 
1.2399 	 6.5630 	 -1.1042 
1.2499 	 6.5819 	 -1.0080 
1.2599 	 6.7156 	 -0.8871 
1.2699 	 7.5640 	 -0.7457 
1.2799 	 8.5746 	 -0.5892 
1.2899 	 8.5865 	 -0.4235 
1.2999 	 8.7246 	 -0.2549 
1.3099 	 8.1366 	 -0.0897 
1.3199 	 7.4854 	 0.0663 
1.3299 	 8.2482 	 0.2076 
1.3399 	 8.4888 	 0.3298 
1.3499 	 8.2838 	 0.4297 
